Provincia,Tasa de Paro (%)
Álava,15.64
Albacete,30.51
Alicante,27.33
Almería,35.74
Asturias,24.4
Ávila,25.76
Badajoz,33.72
Baleares,21.03
Barcelona,23.87
Burgos,20.85
Cáceres,33.64
Cádiz,39.79
Cantabria,22.35
Castellón de la Plana,32.18
Ciudad Real,30.49
Córdoba,33.43
A Coruña,20.24
Cuenca,29.41
Girona,23.22
Granada,37.4
Guadalajara,24.29
Guipúzcoa,13.26
Huelva,31.34
Huesca,18.01
Jaén,40.58
León,23.87
Lleida,18.57
La Rioja,20.73
Lugo,19.71
Madrid,19.52
Málaga,35.66
Murcia,29.13
Navarra,18.32
Ourense,24.52
Palencia,19.89
Las Palmas,35.11
Pontevedra,25.38
Salamanca,21.3
Santa Cruz de Tenerife,32.12
Segovia,20.23
Sevilla,33.29
Soria,16.79
Tarragona,26.92
Teruel,19.73
Toledo,32.5
Valencia,29.58
Valladolid,18.84
Vizcaya,16.72
Zamora,24.63
Zaragoza,23.04
Ceuta,34.96
Melilla,28.74
