Trimestre,Tasa de paro
2002T1,11.55
2002T2,11.15
2002T3,11.49
2002T4,11.61
2003T1,11.99
2003T2,11.28
2003T3,11.30
2003T4,11.37
2004T1,11.50
2004T2,11.09
2004T3,10.74
2004T4,10.53
2005T1,10.17
2005T2,9.32
2005T3,8.41
2005T4,8.71
2006T1,9.03
2006T2,8.44
2006T3,8.08
2006T4,8.26
2007T1,8.42
2007T2,7.93
2007T3,8.01
2007T4,8.57
2008T1,9.60
2008T2,10.36
2008T3,11.23
2008T4,13.79
2009T1,17.24
2009T2,17.77
2009T3,17.75
2009T4,18.66
2010T1,19.84
2010T2,19.89
2010T3,19.59
2010T4,20.11
2011T1,21.08
2011T2,20.64
2011T3,21.28
2011T4,22.56
2012T1,24.19
2012T2,24.40
2012T3,24.79
2012T4,25.77
2013T1,26.94
2013T2,26.06
2013T3,25.65
2013T4,25.73
2014T1,25.93
2014T2,24.47
2014T3,23.67
2014T4,23.70
2015T1,23.78
2015T2,22.37
2015T3,21.18
2015T4,20.90
2016T1,21.00
2016T2,20.00
2016T3,18.91
2016T4,18.63
2017T1,18.75
2017T2,17.22
2017T3,16.38
2017T4,16.55
2018T1,16.74
2018T2,15.28
2018T3,14.55
2018T4,14.45
2019T1,14.70
2019T2,14.02
2019T3,13.92
2019T4,13.78
